iter	Logloss
0	0.6184774636
1	0.5828148438
2	0.5433182477
3	0.5055025059
4	0.480697339
5	0.4489445233
6	0.4191723584
7	0.4051407782
8	0.3865532392
9	0.3772348764
10	0.368485871
11	0.3597079535
12	0.3543255697
13	0.3384714764
14	0.3271775614
15	0.3225423532
16	0.3152435606
17	0.3123961105
18	0.306219419
19	0.3042704927
20	0.299167516
21	0.2948249749
22	0.2913221857
23	0.2890171241
24	0.2843073425
25	0.2830394776
26	0.2790697626
27	0.2712184839
228	0.250876250929	0.2654545214
30	0.2603339764
31	0.2597761127
32	0.2564390239
33	0.2536598861
34	0.2482415685
335	0.2352079741336	0.232838374433737	0.2147463738	38	0.211176003939	0.2086315714040	0.2049652541
41	0.2011274857
42	0.2002710824
43	0.1973840009
44	0.1930871328
45	0.1903483384
46	0.1863165978
47	0.184331572
48	0.1826330912
49	0.1814242189
